
[09:22:51 UTC] [INFO] Image subsizes deferral enabled for import
[09:22:52 UTC] [INFO] Batch processing queue dispatched to background
[09:22:52 UTC] [INFO] Batch Process Started..
[09:22:52 UTC] [INFO] Starter Templates - Importing Images for Blog name 'Trekking' (1)
[09:22:52 UTC] [SUCCESS] Plugin Activated | Context: {"success":true,"status":"activated","message":"Plugin Activated"}
[09:22:53 UTC] [SUCCESS] Import completed successfully!
[09:22:53 UTC] [INFO] Checking if plugin directory clearing is needed
[09:22:53 UTC] [INFO] Plugin install clear directory enabled - Will clear destination directory
[09:22:53 UTC] [INFO] Plugin install clear directory options returned
[09:22:54 UTC] [INFO] Gutenberg batch processing started
[09:22:54 UTC] [INFO] Gutenberg posts retrieved for processing | Context: {"post_count":5,"post_types":"page, post, wp_block, wp_template, wp_navigation, wp_template_part, wp_global_styles, sc_form, spectra-popup, sfwd-courses, sfwd-lessons, sfwd-topic, sfwd-quiz, sfwd-certificates, sfwd-assignment"}
[09:22:54 UTC] [INFO] Processing Gutenberg post | Context: {"post_id":544}
[09:22:54 UTC] [INFO] Replacing WPForms IDs in post content | Context: {"post_id":544,"mappings_count":2}
[09:22:54 UTC] [INFO] Updating post content (first pass) | Context: {"post_id":544}
[09:22:54 UTC] [INFO] Starting link extraction and replacement process
[09:22:54 UTC] [INFO] Links discovered in content | Context: {"total_links":0}
[09:22:54 UTC] [INFO] No links found in content, skipping replacement
[09:22:54 UTC] [INFO] Updating post content (second pass with link replacements) | Context: {"post_id":544}
[09:22:54 UTC] [SUCCESS] Successfully completed processing Gutenberg post | Context: {"post_id":544}
[09:22:54 UTC] [INFO] Processing Gutenberg post | Context: {"post_id":17}
[09:22:54 UTC] [INFO] Skipping post - uses other page builder | Context: {"post_id":17,"elementor":true,"beaver":false,"brizy":false}
[09:22:54 UTC] [INFO] Processing Gutenberg post | Context: {"post_id":19}
[09:22:54 UTC] [INFO] Skipping post - uses other page builder | Context: {"post_id":19,"elementor":true,"beaver":false,"brizy":false}
[09:22:54 UTC] [INFO] Processing Gutenberg post | Context: {"post_id":349}
[09:22:54 UTC] [INFO] Skipping post - uses other page builder | Context: {"post_id":349,"elementor":true,"beaver":false,"brizy":false}
[09:22:54 UTC] [INFO] Processing Gutenberg post | Context: {"post_id":347}
[09:22:54 UTC] [INFO] Skipping post - uses other page builder | Context: {"post_id":347,"elementor":true,"beaver":false,"brizy":false}
[09:22:54 UTC] [SUCCESS] Gutenberg batch processing completed successfully | Context: {"posts_processed":5}
[09:22:54 UTC] [INFO] Elementor batch processing started
[09:22:54 UTC] [INFO] Elementor posts retrieved for processing | Context: {"post_count":5,"post_types":"page, post, wp_block, wp_template, wp_navigation, wp_template_part, wp_global_styles, sc_form"}
[09:22:54 UTC] [INFO] Processing Elementor post | Context: {"post_id":544}
[09:22:54 UTC] [INFO] Skipping post - not an Elementor page or missing data | Context: {"post_id":544,"has_version":false,"has_data":false}
[09:22:54 UTC] [INFO] Processing Elementor post | Context: {"post_id":17}
[09:22:54 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":5}
[09:22:54 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":1}
[09:22:54 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":1}
[09:22:54 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":0}
[09:22:54 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":0}
[09:22:54 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":1}
[09:22:54 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":1}
[09:22:54 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":1}
[09:22:54 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":3}
[09:22:54 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":0}
[09:22:54 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":0}
[09:22:54 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":0}
[09:22:54 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":0}
[09:22:54 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":0}
[09:22:54 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":0}
[09:22:54 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":3}
[09:22:54 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":1}
[09:22:54 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":3}
[09:22:54 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":3}
[09:22:54 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":0}
[09:22:54 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":0}
[09:22:54 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":0}
[09:22:54 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":0}
[09:22:54 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":0}
[09:22:54 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":0}
[09:22:54 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":3}
[09:22:54 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":3}
[09:22:54 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":0}
[09:22:54 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":0}
[09:22:54 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":0}
[09:22:54 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":0}
[09:22:54 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":0}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":0}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":3}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":3}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":0}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":0}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":0}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":0}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":0}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":0}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":3}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":3}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":3}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":3}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":0}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":0}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":0}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":0}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":0}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":0}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":3}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":3}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":0}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":0}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":0}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":0}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":0}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":0}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":3}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":3}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":0}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":0}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":0}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":0}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":0}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":0}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":3}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":3}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":1}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":5}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":0}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":0}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":0}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":0}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":3}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":1}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":0}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":0}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":1}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":2}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":0}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":0}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":0}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":0}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":2}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":1}
[09:22:55 UTC] [INFO] Processing Elementor widgets | Context: {"widget_count":0}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":0}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":1}
[09:22:55 UTC] [INFO] Completed processing Elementor widgets | Context: {"processed_count":3}
